epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,281.458,0.33867,0.36354,0.86552,0.99586,0.99895,0.995,0.95903,0.27384,0.31433,0.80134,0.000559964,0.000559964,0.000559964
45,287.641,0.35789,0.3685,0.8518,0.99626,0.99922,0.995,0.95113,0.34369,0.3252,0.8057,0.000539754,0.000539754,0.000539754
46,293.906,0.34618,0.36213,0.84471,0.99629,0.99946,0.995,0.97327,0.25035,0.30025,0.78894,0.000519544,0.000519544,0.000519544
47,300.034,0.34525,0.35464,0.84615,0.99716,0.9996,0.995,0.97805,0.2109,0.29274,0.78279,0.000499333,0.000499333,0.000499333
48,306.217,0.35051,0.34718,0.85043,0.99765,1,0.995,0.97358,0.27274,0.29488,0.79496,0.000479123,0.000479123,0.000479123
49,312.31,0.35104,0.35115,0.86147,0.99711,0.99976,0.995,0.97807,0.22697,0.27443,0.78587,0.000458913,0.000458913,0.000458913
50,318.592,0.32678,0.349,0.84951,0.99713,0.99959,0.995,0.97494,0.24286,0.28471,0.78539,0.000438703,0.000438703,0.000438703
51,324.701,0.30696,0.33835,0.82645,0.99719,0.99938,0.995,0.96763,0.28428,0.29364,0.79278,0.000418493,0.000418493,0.000418493
52,330.859,0.35107,0.34829,0.8442,0.99739,0.99965,0.995,0.97154,0.23655,0.29342,0.78671,0.000398283,0.000398283,0.000398283
53,337.072,0.33796,0.33644,0.84053,0.99759,0.99961,0.995,0.97746,0.19532,0.27155,0.78014,0.000378073,0.000378073,0.000378073
54,343.256,0.33532,0.3509,0.84299,0.99668,1,0.995,0.96986,0.26868,0.27412,0.78844,0.000357862,0.000357862,0.000357862
55,349.421,0.31662,0.32939,0.85357,0.99708,1,0.995,0.97094,0.25913,0.27675,0.78636,0.000337652,0.000337652,0.000337652
56,355.513,0.33316,0.33114,0.83489,0.99748,1,0.995,0.9825,0.20152,0.2633,0.77992,0.000317442,0.000317442,0.000317442
57,361.687,0.31506,0.33357,0.8296,0.99738,1,0.995,0.9828,0.19868,0.26543,0.78142,0.000297232,0.000297232,0.000297232
58,367.897,0.30936,0.33363,0.84298,0.99757,1,0.995,0.98057,0.21223,0.27042,0.78147,0.000277022,0.000277022,0.000277022
59,374.006,0.31455,0.33204,0.83951,0.99691,1,0.995,0.98108,0.23887,0.28141,0.78544,0.000256812,0.000256812,0.000256812
60,380.17,0.30015,0.31861,0.85016,0.99609,1,0.995,0.9845,0.21307,0.27989,0.78313,0.000236602,0.000236602,0.000236602
61,386.253,0.24204,0.28723,0.80413,0.99723,0.99998,0.995,0.98506,0.2051,0.27832,0.781,0.000216391,0.000216391,0.000216391
62,392.326,0.24296,0.29067,0.80066,0.99764,1,0.995,0.98506,0.19669,0.26336,0.77928,0.000196181,0.000196181,0.000196181
63,398.342,0.25034,0.28561,0.81173,0.99756,1,0.995,0.98146,0.21478,0.26109,0.78088,0.000175971,0.000175971,0.000175971
64,404.479,0.23861,0.26886,0.79194,0.9975,1,0.995,0.97898,0.23793,0.26516,0.78474,0.000155761,0.000155761,0.000155761
65,410.486,0.24132,0.27173,0.8064,0.99694,0.99951,0.995,0.98014,0.22891,0.26012,0.78314,0.000135551,0.000135551,0.000135551
66,416.928,0.22761,0.26734,0.79702,0.99717,0.99966,0.995,0.98047,0.202,0.24937,0.77947,0.000115341,0.000115341,0.000115341
67,422.961,0.2407,0.27558,0.7977,0.99749,0.99994,0.995,0.98422,0.19774,0.24702,0.77791,9.51306e-05,9.51306e-05,9.51306e-05
68,429.071,0.24576,0.26733,0.80387,0.99759,1,0.995,0.9813,0.20506,0.24741,0.77832,7.49204e-05,7.49204e-05,7.49204e-05
69,435.254,0.22807,0.26102,0.79886,0.99753,0.99992,0.995,0.97901,0.21001,0.24969,0.77904,5.47103e-05,5.47103e-05,5.47103e-05
70,441.391,0.21791,0.25301,0.80851,0.99754,0.9999,0.995,0.97737,0.21976,0.25115,0.78064,3.45001e-05,3.45001e-05,3.45001e-05
